Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,1.470700,1.494555,1.469800,1.471400,1.471400,0
2021-01-04,1.495070,1.500646,1.489384,1.495325,1.495325,0
2021-01-05,1.498159,1.500468,1.495833,1.498100,1.498100,0
2021-01-06,1.500230,1.502776,1.496699,1.499956,1.499956,0
2021-01-07,1.500140,1.501353,1.495804,1.499827,1.499827,0
2021-01-08,1.496212,1.498866,1.493449,1.495840,1.495840,0
2021-01-11,1.497060,1.498726,1.491850,1.496620,1.496620,0
2021-01-12,1.494863,1.494905,1.490713,1.495230,1.495230,0
2021-01-13,1.492797,1.495969,1.490783,1.492945,1.492945,0
2021-01-14,1.494200,1.495925,1.488787,1.494200,1.494200,0
2021-01-15,1.490570,1.497161,1.490388,1.490436,1.490436,0
2021-01-18,1.492114,1.497452,1.492114,1.492127,1.492127,0
2021-01-19,1.493474,1.497969,1.491020,1.493148,1.493148,0
2021-01-20,1.495230,1.495535,1.486707,1.494627,1.494627,0
2021-01-21,1.489958,1.494392,1.488180,1.489821,1.489821,0
2021-01-22,1.493148,1.500539,1.493148,1.493619,1.493619,0
2021-01-25,1.499600,1.499789,1.493988,1.499863,1.499863,0
2021-01-26,1.494200,1.495848,1.491221,1.494675,1.494675,0
2021-01-27,1.493784,1.495295,1.491740,1.494218,1.494218,0
2021-01-28,1.496186,1.498870,1.494279,1.496102,1.496102,0
2021-01-29,1.495601,1.497568,1.490169,1.494641,1.494641,0
2021-02-01,1.492096,1.492300,1.485379,1.492020,1.492020,0
2021-02-02,1.485631,1.487205,1.482427,1.485626,1.485626,0
2021-02-03,1.483321,1.483997,1.481550,1.483330,1.483330,0
2021-02-04,1.482699,1.483253,1.479412,1.482513,1.482513,0
2021-02-05,1.478240,1.483990,1.477566,1.478535,1.478535,0
2021-02-08,1.482780,1.484177,1.480661,1.483063,1.483063,0
2021-02-09,1.482897,1.486490,1.481994,1.482700,1.482700,0
2021-02-10,1.485148,1.491055,1.484631,1.484550,1.484550,0
2021-02-11,1.489868,1.490236,1.486590,1.489733,1.489733,0
2021-02-12,1.487820,1.489700,1.484903,1.488049,1.488049,0
2021-02-15,1.485512,1.486160,1.483502,1.485510,1.485510,0
2021-02-16,1.485860,1.491129,1.485331,1.485800,1.485800,0
2021-02-17,1.487190,1.487806,1.478690,1.487100,1.487100,0
2021-02-18,1.477400,1.481889,1.476210,1.477440,1.477440,0
2021-02-19,1.480540,1.481710,1.478100,1.480642,1.480642,0
2021-02-22,1.475793,1.476994,1.469227,1.475899,1.475899,0
2021-02-23,1.474828,1.475385,1.461944,1.474799,1.474799,0
2021-02-24,1.457491,1.458449,1.451513,1.457530,1.457530,0
2021-02-25,1.454090,1.462291,1.450486,1.454437,1.454437,0
2021-02-26,1.466656,1.469989,1.464644,1.466450,1.466450,0
2021-03-01,1.464771,1.466041,1.452150,1.464390,1.464390,0
2021-03-02,1.450680,1.454892,1.449160,1.450756,1.450756,0
2021-03-03,1.452629,1.453957,1.449206,1.452390,1.452390,0
2021-03-04,1.449326,1.449921,1.437052,1.449282,1.449282,0
2021-03-05,1.438987,1.447421,1.438302,1.439220,1.439220,0
2021-03-08,1.441281,1.445696,1.440945,1.441225,1.441225,0
2021-03-09,1.442556,1.448440,1.439239,1.442375,1.442375,0
2021-03-10,1.447730,1.450804,1.443430,1.447566,1.447566,0
2021-03-11,1.445531,1.450061,1.441811,1.444900,1.444900,0
2021-03-12,1.448300,1.450200,1.444590,1.448084,1.448084,0
2021-03-15,1.445840,1.450450,1.445115,1.446000,1.446000,0
2021-03-16,1.449600,1.455120,1.449220,1.449566,1.449566,0
2021-03-17,1.454287,1.455004,1.449382,1.454200,1.454200,0
2021-03-18,1.452290,1.453619,1.444520,1.452500,1.452500,0
2021-03-19,1.449744,1.450387,1.442149,1.449512,1.449512,0
2021-03-22,1.445391,1.452255,1.441678,1.445388,1.445388,0
2021-03-23,1.450940,1.451667,1.438671,1.451333,1.451333,0
2021-03-24,1.440819,1.442140,1.436919,1.440593,1.440593,0
2021-03-25,1.438300,1.440324,1.435550,1.438270,1.438270,0
2021-03-26,1.434100,1.435332,1.429821,1.433990,1.433990,0
2021-03-29,1.432886,1.437435,1.430906,1.432743,1.432743,0
2021-03-30,1.435577,1.436093,1.428036,1.435395,1.435395,0
2021-03-31,1.430048,1.430212,1.423365,1.430132,1.430132,0
2021-04-01,1.424655,1.428875,1.421074,1.424664,1.424664,0
2021-04-02,1.427630,1.429005,1.425525,1.426988,1.426988,0
2021-04-05,1.427800,1.433649,1.424238,1.428221,1.428221,0
2021-04-06,1.432370,1.436496,1.427257,1.432437,1.432437,0
2021-04-07,1.438225,1.444770,1.435886,1.437400,1.437400,0
2021-04-08,1.442088,1.449248,1.441007,1.442172,1.442172,0
2021-04-09,1.449430,1.451386,1.445873,1.449509,1.449509,0
2021-04-12,1.448296,1.455476,1.448096,1.449280,1.449280,0
2021-04-13,1.453300,1.457338,1.448930,1.453095,1.453095,0
2021-04-14,1.456001,1.456001,1.446088,1.455958,1.455958,0
2021-04-15,1.447619,1.448819,1.444075,1.447500,1.447500,0
2021-04-16,1.447232,1.452959,1.446201,1.447487,1.447487,0
2021-04-19,1.449800,1.457524,1.446407,1.449930,1.449930,0
2021-04-20,1.453407,1.453903,1.448844,1.453277,1.453277,0
2021-04-21,1.450169,1.451400,1.446303,1.451018,1.451018,0
2021-04-22,1.449348,1.452067,1.445902,1.448397,1.448397,0
2021-04-23,1.449254,1.451957,1.447720,1.449591,1.449591,0
2021-04-26,1.452280,1.452991,1.446570,1.452110,1.452110,0
2021-04-27,1.448582,1.452853,1.445997,1.449599,1.449599,0
2021-04-28,1.451373,1.453314,1.445396,1.451376,1.451376,0
2021-04-29,1.457000,1.459086,1.454010,1.457071,1.457071,0
2021-04-30,1.458426,1.461774,1.456547,1.458420,1.458420,0
2021-05-03,1.456888,1.461511,1.455693,1.456085,1.456085,0
2021-05-04,1.458480,1.466094,1.455586,1.458316,1.458316,0
2021-05-05,1.462450,1.464293,1.458089,1.462502,1.462502,0
2021-05-06,1.461779,1.470081,1.461044,1.462115,1.462115,0
2021-05-07,1.469130,1.471866,1.463359,1.468840,1.468840,0
2021-05-10,1.470430,1.473047,1.469410,1.470504,1.470504,0
2021-05-11,1.471942,1.473648,1.468195,1.472206,1.472206,0
2021-05-12,1.467459,1.470724,1.464699,1.467170,1.467170,0
2021-05-13,1.466850,1.472250,1.465899,1.466900,1.466900,0
2021-05-14,1.472030,1.479206,1.471759,1.472254,1.472254,0
2021-05-17,1.478336,1.483628,1.477690,1.478200,1.478200,0
2021-05-18,1.477550,1.483040,1.475680,1.477679,1.477679,0
2021-05-19,1.481848,1.482400,1.475590,1.482006,1.482006,0
2021-05-20,1.476368,1.481006,1.474148,1.476242,1.476242,0
2021-05-21,1.482830,1.486550,1.478933,1.482820,1.482820,0
2021-05-24,1.483357,1.484110,1.479100,1.483101,1.483101,0
2021-05-25,1.480840,1.484289,1.478920,1.480649,1.480649,0
2021-05-26,1.479900,1.480363,1.475168,1.479890,1.479890,0
2021-05-27,1.475870,1.476953,1.469846,1.475890,1.475890,0
2021-05-28,1.476165,1.476436,1.467505,1.476246,1.476246,0
2021-05-31,1.469910,1.471924,1.466480,1.469890,1.469890,0
2021-06-01,1.470066,1.476383,1.466509,1.469894,1.469894,0
2021-06-02,1.474178,1.475800,1.466964,1.473924,1.473924,0
2021-06-03,1.472511,1.473067,1.466714,1.472370,1.472370,0
2021-06-04,1.469500,1.473632,1.466647,1.469400,1.469400,0
2021-06-07,1.472200,1.474835,1.470300,1.472532,1.472532,0
2021-06-08,1.473490,1.477883,1.472670,1.473367,1.473367,0
2021-06-09,1.475820,1.481108,1.474705,1.475500,1.475500,0
2021-06-10,1.478429,1.479940,1.474582,1.478422,1.478422,0
2021-06-11,1.479855,1.480152,1.474166,1.479549,1.479549,0
2021-06-14,1.476231,1.477486,1.474110,1.476105,1.476105,0
2021-06-15,1.475428,1.478808,1.473139,1.475000,1.475000,0
2021-06-16,1.477200,1.477500,1.473318,1.477359,1.477359,0
2021-06-17,1.470003,1.471237,1.462909,1.470099,1.470099,0
2021-06-18,1.462130,1.463403,1.457413,1.461910,1.461910,0
2021-06-21,1.457690,1.464130,1.457400,1.457720,1.457720,0
2021-06-22,1.462398,1.465056,1.461309,1.462260,1.462260,0
2021-06-23,1.462369,1.467422,1.461646,1.463027,1.463027,0
2021-06-24,1.465510,1.465800,1.461441,1.465222,1.465222,0
2021-06-25,1.462640,1.465910,1.459970,1.462698,1.462698,0
2021-06-28,1.464109,1.464200,1.459267,1.464284,1.464284,0
2021-06-29,1.459840,1.462178,1.457263,1.460000,1.460000,0
2021-06-30,1.460527,1.460882,1.452410,1.460526,1.460526,0
2021-07-01,1.453468,1.457859,1.451800,1.453760,1.453760,0
2021-07-02,1.457131,1.461686,1.455863,1.457280,1.457280,0
2021-07-05,1.461400,1.461904,1.457800,1.461698,1.461698,0
2021-07-06,1.458376,1.460733,1.454600,1.458021,1.458021,0
2021-07-07,1.456719,1.460149,1.455894,1.456399,1.456399,0
2021-07-08,1.457500,1.481244,1.456810,1.457255,1.457255,0
2021-07-09,1.478110,1.480106,1.475263,1.478150,1.478150,0
2021-07-12,1.478000,1.478911,1.474926,1.477650,1.477650,0
2021-07-13,1.477109,1.477882,1.472883,1.477159,1.477159,0
2021-07-14,1.475695,1.479544,1.473360,1.475549,1.475549,0
2021-07-15,1.479646,1.483243,1.474200,1.479650,1.479650,0
2021-07-16,1.475758,1.476557,1.471837,1.475624,1.475624,0
2021-07-19,1.476570,1.486841,1.475344,1.476773,1.476773,0
2021-07-20,1.484590,1.489820,1.482290,1.484480,1.484480,0
2021-07-21,1.483036,1.486500,1.481673,1.482935,1.482935,0
2021-07-22,1.485970,1.487269,1.478259,1.486093,1.486093,0
2021-07-23,1.478882,1.479286,1.475163,1.478904,1.478904,0
2021-07-26,1.479370,1.483581,1.478949,1.479400,1.479400,0
2021-07-27,1.482824,1.488860,1.480440,1.482845,1.482845,0
2021-07-28,1.486878,1.487744,1.484325,1.486674,1.486674,0
2021-07-29,1.491108,1.494051,1.489017,1.490788,1.490788,0
2021-07-30,1.493633,1.495290,1.491066,1.493610,1.493610,0
2021-08-02,1.495016,1.496151,1.491800,1.495110,1.495110,0
2021-08-03,1.494342,1.496731,1.491800,1.494414,1.494414,0
2021-08-04,1.494329,1.494913,1.489460,1.494545,1.494545,0
2021-08-05,1.490400,1.491168,1.487733,1.490000,1.490000,0
2021-08-06,1.490000,1.490200,1.481238,1.490069,1.490069,0
2021-08-09,1.481100,1.482124,1.475068,1.480850,1.480850,0
2021-08-10,1.473465,1.475705,1.470964,1.472871,1.472871,0
2021-08-11,1.473085,1.473757,1.470987,1.473000,1.473000,0
2021-08-12,1.472070,1.473794,1.469763,1.472080,1.472080,0
2021-08-13,1.470750,1.479812,1.469815,1.470769,1.470769,0
2021-08-16,1.479928,1.487350,1.479058,1.479930,1.479930,0
2021-08-17,1.485320,1.493468,1.484444,1.485502,1.485502,0
2021-08-18,1.488404,1.490226,1.480279,1.487984,1.487984,0
2021-08-19,1.483746,1.490869,1.481333,1.483490,1.483490,0
2021-08-20,1.485100,1.489089,1.483714,1.484402,1.484402,0
2021-08-23,1.484592,1.487551,1.480097,1.484824,1.484824,0
2021-08-24,1.486740,1.487867,1.483364,1.486241,1.486241,0
2021-08-25,1.482677,1.482760,1.479063,1.482850,1.482850,0
2021-08-26,1.480247,1.480715,1.472710,1.480260,1.480260,0
2021-08-27,1.475407,1.476609,1.470241,1.474630,1.474630,0
2021-08-30,1.475926,1.479281,1.463917,1.475245,1.475245,0
2021-08-31,1.466120,1.473681,1.465373,1.466694,1.466694,0
2021-09-01,1.468625,1.470547,1.463210,1.468482,1.468482,0
2021-09-02,1.468317,1.470531,1.465292,1.467650,1.467650,0
2021-09-03,1.468213,1.470286,1.465728,1.468117,1.468117,0
